Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
400,40,47,122.448,188,1
400,40,48,121.047,192,0
400,40,49,122.763,171,0
400,40,50,121.959,187,2
400,50,1,120.608,161,1
400,50,2,121.782,163,2
400,50,3,121.546,156,2
400,50,4,120.759,166,1
400,50,5,121.4,169,0
400,50,6,121.768,143,2
400,50,7,121.571,156,3
400,50,8,121.628,163,1
400,50,9,121.389,156,2
400,50,10,121.925,146,0
400,50,11,121.87,132,1
400,50,12,121.524,151,0
400,50,13,122.388,185,1
400,50,14,122.094,160,4
400,50,15,121.849,143,0
400,50,16,121.705,139,0
400,50,17,122.011,168,0
400,50,18,121.099,170,2
400,50,19,121.018,147,2
400,50,20,122.389,147,4
400,50,21,120.181,135,1
400,50,22,122.449,163,1
400,50,23,122.767,141,1
400,50,24,121.189,173,1
400,50,25,122.6,130,1
400,50,26,121.221,176,0
400,50,27,122.337,121,0
400,50,28,120.524,206,4
400,50,29,122.807,178,2
400,50,30,121.826,139,2
400,50,31,122.311,170,2
400,50,32,121.766,164,2
400,50,33,123.222,148,2
400,50,34,122.028,166,2
